gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4153896809	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298483759/original.jpeg	https://www.inaturalist.org/photos/298483759					2020-07-11T18:22:34Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153894878	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298485855/original.jpeg	https://www.inaturalist.org/photos/298485855					2020-07-11T23:49:50Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153876167	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298485138/original.jpeg	https://www.inaturalist.org/photos/298485138					2020-07-11T23:32:00Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153786084	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298484760/original.jpeg	https://www.inaturalist.org/photos/298484760					2020-07-11T23:15:37Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153770192	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298485292/original.jpeg	https://www.inaturalist.org/photos/298485292					2020-07-11T23:38:20Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153664287	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298485754/original.jpeg	https://www.inaturalist.org/photos/298485754					2020-07-11T23:47:41Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153618456	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298472773/original.jpeg	https://www.inaturalist.org/photos/298472773					2020-07-11T23:50:09Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153593958	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/297016444/original.jpeg	https://www.inaturalist.org/photos/297016444					2023-07-05T19:36:08Z	Johnny Clavo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Johnny Clavo
4153593958	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/297016470/original.jpeg	https://www.inaturalist.org/photos/297016470					2023-07-05T19:38:05Z	Johnny Clavo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Johnny Clavo
4153546997	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298484467/original.jpeg	https://www.inaturalist.org/photos/298484467					2020-07-11T18:39:42Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153535096	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298473012/original.jpeg	https://www.inaturalist.org/photos/298473012					2020-07-12T20:24:18Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153439400	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/258674441/original.jpg	https://www.inaturalist.org/photos/258674441					2023-03-02T15:03:06Z	fiorinaberezovsky		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	fiorinaberezovsky
4153357175	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298486151/original.jpeg	https://www.inaturalist.org/photos/298486151					2020-07-12T00:00:30Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4148191327	StillImage	image/jpeg	https://www.digitalis.uzh.ch/media/specimen/252/Z-000252718.jpg											
4145738004	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/295697739/original.jpeg	https://www.inaturalist.org/photos/295697739					2013-07-23T19:35:19Z	licorne01		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	licorne01
4137973270	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/290049592/original.jpeg	https://www.inaturalist.org/photos/290049592					2023-06-14T13:23:38Z	andrewdubs1		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	andrewdubs1
4134235434	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/289566569/original.jpg	https://www.inaturalist.org/photos/289566569					2023-06-13T11:10:41Z	bobavett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bobavett
4134235434	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/289575847/original.jpg	https://www.inaturalist.org/photos/289575847					2023-06-13T11:10:41Z	bobavett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bobavett
